,network,streaming,imdb,mentions,score
Amen,NBC,N/A,tt0090395,2,6
Easy,,Netflix,tt5562056,2,6
Search,OCN,N/A,tt12923294,2,6
Cold,,go90,tt4553986,2,6
The Case,BBC One,N/A,tt2088544,2,6
Stuck,TLC,N/A,tt17157086,2,6
Baggage,Game Show Network,N/A,tt1640240,2,6
Rap Sh!t,,HBO Max,tt11212198,2,6
Deg,SVT1,N/A,tt8852066,2,6
Supernatural,BBC One,N/A,tt0396375,2,5
Band of Brothers,HBO,N/A,tt0185906,2,5
Undeclared,FOX,N/A,tt0273028,2,5
And Then There Were None,BBC One,N/A,tt3581932,2,5
Switch,ITV2,N/A,tt2368005,2,5
Woman,NTV,N/A,tt2976664,2,5
Mother,tvN,N/A,tt7795226,2,5
The Queen,Channel 4,N/A,tt1365539,2,5
Corporate,Comedy Central,N/A,tt5648202,2,5
Ireland,MBC,N/A,tt0477490,2,5
Villains,ITV,N/A,tt0169507,2,5
The Undeclared War,,All 4,tt7939800,2,5
Mine,tvN,N/A,tt14023192,2,5
Revealed,Channel 5,N/A,tt1118299,2,4
Danger Man,ITV,N/A,tt0053496,2,4
Young Sheldon,CBS,N/A,tt6226232,2,4
Distraction,Channel 4,N/A,tt0385401,2,4
100%,Channel 5,N/A,tt0314970,2,4
Melody,CBeebies,N/A,tt3377030,2,4
Alif,Geo Entertainment,N/A,tt11357084,2,4
Vincenzo,tvN,N/A,tt13433812,2,4
The Bear,,Hulu,tt14452776,2,4
Black Mirror,,Netflix,tt2085059,2,3
Luther,TF1,N/A,tt14180156,2,3
Bosch,,Prime Video,tt3502248,2,3
Traveler,jTBC,N/A,tt10160362,2,3
State of Play,HBO,N/A,tt3378080,2,3
Travelers,,Netflix,tt5651844,2,3
We Own This City,HBO,N/A,tt14192504,2,3
Dark Winds,,AMC+,tt15017118,2,3
Bert,SVT1,N/A,tt0108703,2,3
The Flash,CBS,N/A,tt0098798,2,2
The Good Wife,tvN,N/A,tt5786676,2,2
Psych,USA Network,N/A,tt0491738,2,2
Boston Legal,ABC,N/A,tt0402711,2,2
Trust Me,BBC One,N/A,tt6708260,2,2
Ozark,,Netflix,tt5071412,2,2
Doom Patrol,Cartoon Network,N/A,tt2303377,2,2
Blue,,Hulu,tt2191148,2,1
Target,BBC One,N/A,tt0075593,2,1
The Scene,,YouTube,tt2201890,2,0
Baseball,PBS,N/A,tt0108700,2,-3
Abandoned,Vice TV,N/A,tt6150820,2,-3
Bonding,,Netflix,tt7718088,2,-3
First Day,ABC ME,N/A,tt10614090,2,-3
Arrow,The CW,N/A,tt2193021,2,-5
Boardwalk Empire,HBO,N/A,tt0979432,1,35
Empire,CBS,N/A,tt0086706,1,35
The Beat,Global,N/A,tt1959162,1,30
Toma,ABC,N/A,tt0069646,1,30
Abyss,tvN,N/A,tt10055734,1,27
No Offence,Channel 4,N/A,tt3922704,1,25
Dad,BBC One,N/A,tt0118295,1,23
Six Feet Under,HBO,N/A,tt0248654,1,22
Family Matters,CBS,N/A,tt0096579,1,22
