,network,streaming,imdb,mentions,score
Dicte,TV2,N/A,tt2025899,1,22
As If,UPN,N/A,tt0313034,1,22
Addicted,Discovery Life,N/A,tt1613063,1,22
Sola,Chiba TV,N/A,tt1120961,1,22
Solar Opposites,,Hulu,tt8910922,1,22
The Staircase,,HBO Max,tt11324406,1,22
Married,FX,N/A,tt2786956,1,18
Coupled,FOX,N/A,tt5866536,1,17
Rizzoli & Isles,TNT,N/A,tt1551632,1,16
In Depth,C-SPAN2,N/A,tt2248470,1,16
Deep Space,,Gaia,tt6021862,1,16
The King,Sky Atlantic,N/A,tt13190882,1,16
Fear,MTV,N/A,tt0221741,1,15
Naruto,TV Tokyo,Crunchyroll,tt0409591,1,14
Memory,tvN,N/A,tt5546466,1,14
The Devil,KBS2,N/A,tt1820124,1,14
Gilmore Girls,The CW,N/A,tt0238784,1,13
Rush,Network 10,N/A,tt1258216,1,13
All That,Nickelodeon,N/A,tt10309492,1,13
Runaway,TBS,N/A,tt6953208,1,13
Pure,Channel 4,N/A,tt8147076,1,13
The Key,BBC Two,N/A,tt0381311,1,13
Acapulco,,Apple TV+,tt13567344,1,13
Reversed,Discovery Family,N/A,tt6218088,1,13
Blunder,E4,N/A,tt0888095,1,13
Ms. Marvel,,Disney+,tt10857164,1,13
American Horror Stories,,Hulu,tt12306692,1,13
Devoured,Vice TV,N/A,tt18271152,1,13
Adventure Time,Cartoon Network,N/A,tt1305826,1,12
Bee and PuppyCat,,Netflix,tt4163486,1,12
Stark,BBC One,N/A,tt0108215,1,12
Julia,LBCI,N/A,tt8396152,1,12
Infinity Train,,HBO Max,tt8146754,1,12
She-Hulk: Attorney at Law,,Disney+,tt10857160,1,12
The League,FXX,N/A,tt1480684,1,11
Kidnapped,NBC,N/A,tt0771329,1,11
Hidden,BBC One,N/A,tt1967685,1,11
This World,BBC Two,N/A,tt1597701,1,11
Asylum,Comedy Central,N/A,tt0123341,1,11
Damned,Channel 4,N/A,tt5839960,1,11
Evolve,History,N/A,tt1283572,1,11
Unnatural,TBS,N/A,tt7521882,1,11
I Am Not Okay With This,,Netflix,tt9446688,1,11
All Around,,Olympic Channel,tt12493030,1,11
Please Love Me,,Mango TV,tt11482304,1,11
On the Verge,Canal+,N/A,tt5540990,1,11
The Choice,ON,N/A,tt12222224,1,11
Moonhaven,,AMC+,tt14192428,1,11
Dexter,Showtime,N/A,tt0773262,1,10
House of Cards,BBC One,N/A,tt0098825,1,10
Rovers,Sky Showcase,N/A,tt4960458,1,10
Victoria,Telemundo,N/A,tt1189371,1,10
GOLD,Fuji TV,N/A,tt1677254,1,10
Killing Eve,,AMC+,tt7016936,1,10
Gentleman Jack,BBC One,N/A,tt7211618,1,10
Pandemic,Hallmark Channel,N/A,tt0802821,1,10
It's a Sin,,All 4,tt9140342,1,10
PEN15,,Hulu,tt8324422,1,10
The Terminal List,,Prime Video,tt11743610,1,10
One Tree Hill,The CW,N/A,tt0368530,1,9
The City,MTV,N/A,tt1346006,1,9
3 Days,SBS,N/A,tt3580142,1,9
The Challenge,MTV,N/A,tt0176095,1,9
The Family,,Netflix,tt10715148,1,9
Revelations,NBC,N/A,tt0403795,1,9
1993,Sky Atlantic,Now,tt6859148,1,9
Breathe,,Prime Video,tt6466208,1,9
Forgotten,ITV,N/A,tt0176369,1,9
Servant,,Apple TV+,tt8068860,1,9
Crazy Fast,,Brat,tt10954978,1,9
Breaking In,FOX,N/A,tt1630574,1,8
Snapped,Oxygen,N/A,tt0429434,1,8
The Class,CBS,N/A,tt0484082,1,8
The Last Kingdom,,Netflix,tt4179452,1,8
Jesse,NBC,N/A,tt0156196,1,8
Bottom,BBC Two,N/A,tt0103376,1,8
Bonkers,Toon Disney,N/A,tt0213334,1,8
Brain,KBS2,N/A,tt3246474,1,8
Loaded,The Weather Channel,N/A,tt2736652,1,8
Upload,,Prime Video,tt7826376,1,8
Resident Alien,Syfy,N/A,tt8690918,1,8
Ghosts,CBS,N/A,tt11379026,1,8
Peaking,,Red Bull TV,tt10207688,1,8
Pink,,YouTube,tt1302137,1,8
86,Tokyo MX,N/A,tt13718450,1,8
The Voice,Seven Network,N/A,tt2334429,1,7
Chopped,Food Network,N/A,tt1353281,1,7
Outlaw,NBC,N/A,tt1592226,1,7
Maron,IFC,N/A,tt2520512,1,7
Surface,,Apple TV+,tt13694702,1,7
Outlaws,NBC,N/A,tt0053527,1,7
Raised by Wolves,,HBO Max,tt9170108,1,7
New Worlds,Channel 4,N/A,tt3495652,1,7
High Society,CBS,N/A,tt0112002,1,7
Skin,FOX,N/A,tt0364008,1,7
Smile,TBS,N/A,tt1422477,1,7
Sacred Games,,Netflix,tt6077448,1,7
The Audience,Channel 4,N/A,tt2410354,1,7
William,BBC One,N/A,tt0208652,1,7
I Bet You,Mojo HD,N/A,tt0963266,1,7
Giri/Haji,,BBC iPlayer,tt8001106,1,7
Blown Away,,Netflix,tt9908860,1,7
The Guest,OCN,N/A,tt8801670,1,7
The Foundation,SHOWTIME Showcase,N/A,tt1512813,1,7
Trial and Error,CBS,N/A,tt0094570,1,7
The Sounds,,Acorn TV,tt10505762,1,7
In My Skin,,BBC Three,tt9145818,1,7
The Outlaws,,BBC iPlayer,tt11646832,1,7
Panchayat,,Prime Video,tt12004706,1,7
Star Trek: Strange New Worlds,,Paramount+,tt12327578,1,7
Kota Factory,,Netflix,tt9432978,1,7
Wolf,BBC One,N/A,tt11384544,1,7
Wolfe,,Now,tt9169636,1,7
Marc,ITV,N/A,tt0320064,1,7
Sunny,,Apple TV+,tt13016246,1,7
Deception,Virgin Media One,N/A,tt2339850,1,6
Partners,FOX,N/A,tt0112118,1,6
Master of None,,Netflix,tt4635276,1,6
Ideal,BBC Three,N/A,tt0417332,1,6
Parents,Sky Showcase,N/A,tt2223236,1,6
One Mississippi,,Prime Video,tt4947608,1,6
Wilder,SRF 1,N/A,tt6276768,1,6
Hide,,Peacock,tt15391916,1,6
Suspect,Channel 4,N/A,tt15510352,1,6
Express,,Starz Play,tt14253638,1,6
First Class,,Netflix,tt20597418,1,6
Orange Is the New Black,,Netflix,tt2372162,1,5
Bates Motel,A&E,N/A,tt2188671,1,5
Quantum Leap,NBC,N/A,tt0096684,1,5
Perry Mason,HBO,N/A,tt2077823,1,5
Drive,FOX,N/A,tt0770521,1,5
Dates,Channel 4,N/A,tt2964118,1,5
The Pitch,AMC,N/A,tt2287229,1,5
Preacher,AMC,N/A,tt5016504,1,5
Solo,,Prime Video,tt6785194,1,5
Topper,CBS,N/A,tt0045447,1,5
Tethered,Discovery Channel,N/A,tt4179528,1,5
The Changes,BBC One,N/A,tt0072484,1,5
Orange,Tokyo MX,N/A,tt5839732,1,5
Original Sin,,iQIYI,tt9490140,1,5
Mr. Mercedes,Audience Network,N/A,tt4354880,1,5
Fay,NBC,N/A,tt0072501,1,5
Sticky,,BBC Three,tt4817296,1,5
Brass,Channel 4,N/A,tt0084991,1,5
Fox,ITV,N/A,tt0162806,1,5
ALEX,,Viaplay,tt6681686,1,5
The Thing,NBC,N/A,tt0077091,1,5
Modern Love,,Prime Video,tt8543390,1,5
Brassic,,Now,tt9174582,1,5
Native America,PBS,N/A,tt7510024,1,5
Driven,,PassionFlix,tt8451888,1,5
The North Water,,BBC iPlayer,tt7660970,1,5
Reacher,,Prime Video,tt9288030,1,5
Petra,Sky Uno,N/A,tt10964100,1,5
Alex Rider,,Prime Video,tt6964748,1,5
Anonymous,RTÉ2,N/A,tt0497849,1,5
Tether,,Prime Video,tt12688662,1,5
Heartstopper,,Netflix,tt10638036,1,5
Float,,BBC iPlayer,tt16369752,1,5
Continuum,,Vimeo,tt2309131,1,4
True Blood,HBO,N/A,tt13789256,1,4
Getting On,BBC Four,N/A,tt1468773,1,4
Battlestar Galactica,,Peacock,tt10972986,1,4
The Honourable Woman,BBC Two,N/A,tt3021686,1,4
My Family,BBC One,N/A,tt0257315,1,4
Big Brother,Nine Network,N/A,tt0287196,1,4
Seed,Citytv,N/A,tt2429840,1,4
Dark Matter,,Apple TV+,tt4244670,1,4
Miranda,BBC One,N/A,tt1533435,1,4
Punch,SBS,N/A,tt4416134,1,4
POV,PBS,N/A,tt0795174,1,4
Dinosaurs,ABC,N/A,tt0101081,1,4
The Hunt,History,N/A,tt3749330,1,4
Bad Guy,SBS,N/A,tt2090230,1,4
Goosebumps,YTV,N/A,tt0111987,1,4
Legend,UPN,N/A,tt0112045,1,4
The Handmaid's Tale,,Hulu,tt5834204,1,4
Match Game,ABC,N/A,tt5672484,1,4
Sally,SVT1,N/A,tt0184153,1,4
Basketball,tvN,N/A,tt3357392,1,4
Three Sisters,NBC,N/A,tt0266195,1,4
Mouse,tvN,N/A,tt13634792,1,4
UNHhhh,,WOW Presents Plus,tt9169598,1,4
Big Mouth,,Netflix,tt6524350,1,4
Watchmen,HBO,N/A,tt7049682,1,4
Kidding,Showtime,N/A,tt7375404,1,4
Misty,jTBC,N/A,tt7890244,1,4
Undone,,Prime Video,tt8101850,1,4
Fast Forward,Seven Network,N/A,tt0096581,1,4
The Order,,Netflix,tt8295472,1,4
Flip,,Eros Now,tt9861342,1,4
The Weekly,FX,N/A,tt8629150,1,4
Honour,ITV,N/A,tt10535076,1,4
Breaking News,Bravo,N/A,tt0245022,1,4
Vampires,,Netflix,tt11829316,1,4
The Prince,,HBO Max,tt11650736,1,4
Legendary,,HBO Max,tt11048090,1,4
Asur,,Voot,tt11912196,1,4
Bump,,Stan,tt5294524,1,4
Romance,France 2,N/A,tt11469120,1,4
I Quit,Discovery Channel,N/A,tt12976286,1,4
Miss S,Beijing TV,Tencent QQ,tt12477900,1,4
The Core,,Shudder,tt7693644,1,4
Trixie Motel,,discovery+,tt14721926,1,4
Arnie,CBS,N/A,tt0065274,1,4
The 100,The CW,N/A,tt2661044,1,3
Glee,FOX,N/A,tt1327801,1,3
Lovesick,,Netflix,tt4051832,1,3
Prison Break,FOX,N/A,tt0455275,1,3
Chaos,CBS,N/A,tt1591468,1,3
Last Tango in Halifax,BBC One,N/A,tt2216156,1,3
Crash,STARZ,N/A,tt1178636,1,3
Invasion,,Apple TV+,tt9737326,1,3
Hunters,,Prime Video,tt7456722,1,3
Changi,ABC,N/A,tt0274245,1,3
Please Like Me,ABC TV Plus,N/A,tt2155025,1,3
War of the Worlds,,myCANAL,tt9686194,1,3
Chug,National Geographic Channel,N/A,tt4214016,1,3
Counterpart,STARZ,N/A,tt4643084,1,3
Search Party,,HBO Max,tt5460226,1,3
Producer,KBS2,N/A,tt4612922,1,3
Going Forward,BBC Four,N/A,tt5741334,1,3
Medic,NBC,N/A,tt0046623,1,3
RPA,Nine Network,N/A,tt0367397,1,3
Made in America,Travel Channel,N/A,tt2081801,1,3
Robins,SVT1,N/A,tt0876012,1,3
Sara,RTP2,N/A,tt7170638,1,3
Bounty Hunters,CMT,N/A,tt2168240,1,3
College,Italia 1,N/A,tt0148003,1,3
The Four,Hunan TV,N/A,tt6979188,1,3
Dickinson,,Apple TV+,tt8518136,1,3
This is Going to Hurt,,BBC iPlayer,tt8681148,1,3
Little Things,,Netflix,tt6522580,1,3
Luis,FOX,N/A,tt0367363,1,3
The Last Dance,ESPN,N/A,tt8420184,1,3
Frank of Ireland,,All 4,tt11909220,1,3
Clark,,Netflix,tt12304420,1,3
Say I Do,,Netflix,tt12540060,1,3
Teenage Bounty Hunters,,Netflix,tt10584608,1,3
Melissa,Channel 4,N/A,tt0118398,1,3
Tango,MBC 4,N/A,tt8171410,1,3
The Kindness Diaries,,Netflix,tt6786518,1,3
Robin,SVT1,N/A,tt0149516,1,3
Souls,,Sky Go,tt10850598,1,3
Based on a True Story,,Peacock,tt19500224,1,3
Revenge,ABC,N/A,tt1837642,1,2
The Killing,,Shahid,tt20854884,1,2
Black Sails,STARZ,N/A,tt2375692,1,2
El Internado,Antena 3,N/A,tt1024810,1,2
Endeavour,ITV,N/A,tt2701582,1,2
El Ministerio del Tiempo,La 1,N/A,tt4136774,1,2
Shetland,BBC One,N/A,tt2396135,1,2
Spawn,HBO,N/A,tt0118475,1,2
Horizon,BBC Two,N/A,tt0318224,1,2
Mike Tyson Mysteries,Adult Swim,N/A,tt3038546,1,2
Nathan for You,Comedy Central,N/A,tt2297757,1,2
Coast,BBC Two,N/A,tt0778908,1,2
River,BBC One,N/A,tt4258440,1,2
Slam Dunk,TV Asahi,N/A,tt0965547,1,2
Bread,BBC One,N/A,tt0090402,1,2
Hard Time,National Geographic Channel,N/A,tt1458809,1,2
Devil May Cry,WOWOW,N/A,tt1048049,1,2
The Path,,Hulu,tt4789576,1,2
Monster,NRK1,N/A,tt5157290,1,2
Most Shocking,truTV,N/A,tt0944181,1,2
Raven,CBS,N/A,tt0103518,1,2
On Story,World,N/A,tt1905877,1,2
Goblin,tvN,N/A,tt5994364,1,2
Stoked,Teletoon,N/A,tt1504166,1,2
Elvis,ABC,N/A,tt0098786,1,2
The British,Sky Atlantic,N/A,tt2506318,1,2
Elven,TV3,N/A,tt6467568,1,2
The Witcher,,Netflix,tt5180504,1,2
Harrow,ABC,N/A,tt7242816,1,2
Disenchantment,,Netflix,tt5363918,1,2
Devs,,Hulu,tt8134186,1,2
The Righteous Gemstones,HBO,N/A,tt8634332,1,2
Switched,,Netflix,tt8747882,1,2
Shrill,,Hulu,tt8962130,1,2
Hatch,SBS,N/A,tt9467164,1,2
Yankee,,Netflix,tt9046782,1,2
Calls,,Apple TV+,tt9327706,1,2
Wheels,NBC,N/A,tt0077099,1,2
Ares,,Netflix,tt8404520,1,2
Versus,,go90,tt7713016,1,2
Zero,,Netflix,tt10619486,1,2
Outer Range,,Prime Video,tt11685912,1,2
Blacksmith,NBC,N/A,tt5195248,1,2
Becoming,,Disney+,tt12944764,1,2
Damaged,,Hungama,tt8532412,1,2
The Tower,ITV,N/A,tt14364876,1,2
Move to Heaven,,Netflix,tt11052470,1,2
Heels,STARZ,N/A,tt6554240,1,2
Pretty Smart,,Netflix,tt14369056,1,2
Anke,Sat.1,N/A,tt0231011,1,2
The Originals,The CW,N/A,tt2632424,1,1
The Vampire Diaries,The CW,N/A,tt1405406,1,1
Survivor,ΣΚΑΪ Τηλεόραση,N/A,tt7504196,1,1
Nikita,The CW,N/A,tt1592154,1,1
TURN: Washington's Spies,AMC,N/A,tt2543328,1,1
Awake,NBC,N/A,tt1839683,1,1
The Fall,BBC Two,N/A,tt2294189,1,1
Arrested Development,,Netflix,tt0367279,1,1
Entourage,tvN,N/A,tt5849698,1,1
Rake,ABC,N/A,tt1587000,1,1
The Practice,NBC,N/A,tt0074040,1,1
Dirt,,Brat,tt8277678,1,1
Family Tree,HBO,N/A,tt2340036,1,1
My Hero,NBC,N/A,tt0044282,1,1
Lucifer,,Netflix,tt4052886,1,1
Bleach,TV Tokyo,Crunchyroll,tt0434665,1,1
Engrenages,Canal+,N/A,tt0477507,1,1
The Night Manager,BBC One,N/A,tt1399664,1,1
Into the Badlands,AMC,N/A,tt3865236,1,1
Goliath,,Prime Video,tt4687880,1,1
The Code,CBS,N/A,tt8888168,1,1
Heartbreak High,,Netflix,tt15054962,1,1
Saved,TNT,N/A,tt0756591,1,1
The Help,The WB,N/A,tt0364816,1,1
Accused,FOX,N/A,tt7949212,1,1
Conspiracy,Channel 5,N/A,tt4761054,1,1
Designated Survivor,,Netflix,tt5296406,1,1
The Rook,STARZ,N/A,tt7395992,1,1
Troy,E4,N/A,tt3543054,1,1
Hundred,TV Tokyo,N/A,tt5271506,1,1
Witness,HBO,N/A,tt2475150,1,1
Get Shorty,EPIX,N/A,tt5761496,1,1
Britannia,,Sky Go,tt5932548,1,1
Lodge 49,AMC,AMC Premiere,tt6128254,1,1
The Witness for the Prosecution,BBC One,N/A,tt5834256,1,1
Here and Now,HBO,N/A,tt5923012,1,1
Gone,Investigation Discovery,N/A,tt6621102,1,1
Get Out,,HDnet,tt0398474,1,1
SEAL Team,,Paramount+,tt6473344,1,1
Sommer,DR1,N/A,tt0850644,1,1
New Heart,MBC,N/A,tt3215910,1,1
Ordeal by Innocence,BBC One,N/A,tt6118426,1,1
The Other One,,BBC iPlayer,tt7374240,1,1
The Rookie,ABC,N/A,tt7587890,1,1
In the Long Run,,Sky Go,tt7464074,1,1
Tuca & Bertie,Adult Swim,N/A,tt8036272,1,1
Pilgrimage,,BBC iPlayer,tt7534720,1,1
Shane,ABC,N/A,tt0060024,1,1
Sex Education,,Netflix,tt7767422,1,1
Years and Years,BBC One,N/A,tt8694364,1,1
GTO,Fuji TV,N/A,tt2365173,1,1
Legacy,UPN,N/A,tt0168344,1,1
I May Destroy You,,BBC iPlayer,tt11204260,1,1
Player,OCN,N/A,tt8912586,1,1
Folklore,HBO Asia,N/A,tt9397640,1,1
The Mandalorian,,Disney+,tt8111088,1,1
The Murders,Citytv,N/A,tt8311576,1,1
High School Musical: The Musical: The Series,,Disney+,tt8510382,1,1
George,CTV,N/A,tt0309158,1,1
Mytho,ARTE,N/A,tt10677432,1,1
Walker,The CW,N/A,tt11006642,1,1
Ted Lasso,,Apple TV+,tt10986410,1,1
The Musical,SBS,N/A,tt3018336,1,1
Ice Show,M6,N/A,tt3570564,1,1
Washington,History,N/A,tt7525716,1,1
I Promise,,Quibi,tt12001410,1,1
Sins,CBS,N/A,tt0090522,1,1
Crime Scene,,Netflix,tt13837672,1,1
Psycho,ARTE,N/A,tt13526308,1,1
Blue Lock,BS11,N/A,tt15222080,1,1
49,NTV,N/A,tt3170540,1,1
The Hospital,,Prime Video,tt11828386,1,1
Adrian,Canale 5,N/A,tt9605762,1,1
New Girl,FOX,N/A,tt1826940,1,0
Teen Titans,Cartoon Network,N/A,tt0343314,1,0
Ben 10,Cartoon Network,N/A,tt6148376,1,0
Taken,NBC,N/A,tt5052460,1,0
Zen,BBC One,N/A,tt1618371,1,0
Titans,,HBO Max,tt1043813,1,0
The View,ABC,N/A,tt0123366,1,0
The Talk,CBS,N/A,tt1740718,1,0
The Fugitive,,Quibi,tt10623550,1,0
Dangerous,,MX Player,tt9444348,1,0
I'm Sorry,truTV,N/A,tt5987254,1,0
Behind Her Eyes,,Netflix,tt9698442,1,0
Take Me,ITV,N/A,tt0281494,1,0
Most Dangerous Game,,The Roku Channel,tt10580064,1,0
Grant,History,N/A,tt8690814,1,0
Red Light,,Streamz,tt10795304,1,0
Taffy,Boomerang,N/A,tt9179928,1,0
It's Fine,,Prime Video,tt5851908,1,0
Echoes,RTÉ ONE,N/A,tt0213628,1,0
Salty,Syndication,N/A,tt0069626,1,-1
The Sister,ITV,N/A,tt10642480,1,-1
Dollar,,Netflix,tt10687564,1,-1
Chuck,NBC,N/A,tt0934814,1,-3
Demons,ITV,N/A,tt1157595,1,-3
Staged,,BBC iPlayer,tt12369754,1,-3
Bullet Points,AHC,N/A,tt2862164,1,-3
Kings,NBC,N/A,tt1137462,1,-4
Under the Dome,CBS,N/A,tt1553656,0,0
Bitten,CTV Sci-Fi Channel,N/A,tt2365946,0,0
Grimm,NBC,N/A,tt1830617,0,0
Gotham,FOX,N/A,tt3749900,0,0
Lost Girl,Showcase,N/A,tt1429449,0,0
Constantine,NBC,N/A,tt3489184,0,0
The Amazing Race,CBS,N/A,tt0285335,0,0
The Strain,FX,N/A,tt2654620,0,0
The Last Ship,TNT,N/A,tt2402207,0,0
Once Upon a Time in Wonderland,ABC,N/A,tt2802008,0,0
Hawaii Five-0,CBS,N/A,tt1600194,0,0
Hellsing,Fuji TV,N/A,tt0325547,0,0
Hellsing Ultimate,TBS,N/A,tt0495212,0,0
Berserk,WOWOW,N/A,tt5847454,0,0
Californication,Showtime,N/A,tt0904208,0,0
Vikings,BBC Two,N/A,tt2455488,0,0
American Horror Story,FX,N/A,tt1844624,0,0
Marvel's Agents of S.H.I.E.L.D.,ABC,N/A,tt2364582,0,0
Hemlock Grove,,Netflix,tt2309295,0,0
Helix,Syfy,N/A,tt2758950,0,0
Intruders,CBS,N/A,tt0104523,0,0
Z Nation,Syfy,N/A,tt3843168,0,0
Resurrection,BBC Two,N/A,tt0065338,0,0
Death Note,NTV,N/A,tt4623604,0,0
Last Man Standing,FOX,N/A,tt1828327,0,0
Sleepy Hollow,FOX,N/A,tt2647544,0,0
Outlander,STARZ,N/A,tt3006802,0,0
Scorpion,CBS,N/A,tt3514324,0,0
NCIS: New Orleans,CBS,N/A,tt3560084,0,0
Forever,,Prime Video,tt7720790,0,0
Witches of East End,Lifetime,N/A,tt2288064,0,0
Madam Secretary,CBS,N/A,tt3501074,0,0
Brooklyn Nine-Nine,NBC,N/A,tt2467372,0,0
The Lottery,Lifetime,N/A,tt3314228,0,0
How to Get Away with Murder,ABC,N/A,tt3205802,0,0
Nashville,FOX,N/A,tt1056344,0,0
Legends,BBC Four,N/A,tt1134907,0,0
Red Band Society,FOX,N/A,tt3576794,0,0
Chicago P.D.,NBC,N/A,tt2805096,0,0
black-ish,ABC,N/A,tt3487356,0,0
Chicago Fire,NBC,N/A,tt2261391,0,0
NCIS,CBS,N/A,tt0364845,0,0
Orphan Black,Fuji TV,N/A,tt7724320,0,0
Bones,FOX,N/A,tt0460627,0,0
The Big Bang Theory,CBS,N/A,tt0898266,0,0
Grey's Anatomy,ABC,N/A,tt0413573,0,0
The Blacklist,NBC,N/A,tt2741602,0,0
Dancing with the Stars,Three,N/A,tt1666205,0,0
NCIS: Los Angeles,CBS,N/A,tt1378167,0,0
Hell on Wheels,AMC,N/A,tt1699748,0,0
The Mindy Project,,Hulu,tt2211129,0,0
Sons of Anarchy,FX,N/A,tt1124373,0,0
The Mysteries of Laura,NBC,N/A,tt3187578,0,0
The Goldbergs,ABC,N/A,tt2712740,0,0
Criminal Minds,tvN,N/A,tt6568694,0,0
The Simpsons,FOX,N/A,tt0096697,0,0
Family Guy,FOX,N/A,tt0182576,0,0
Stalker,CBS,N/A,tt3560094,0,0
The Bridge,Channel 4,N/A,tt12962104,0,0
Reign,The CW,N/A,tt2710394,0,0
Unforgettable,A&E,N/A,tt1842530,0,0
Bad Judge,NBC,N/A,tt2769470,0,0
A to Z,NBC,N/A,tt3216682,0,0
Parenthood,NBC,N/A,tt0098887,0,0
Defiance,Syfy,N/A,tt2189221,0,0
Falling Skies,TNT,N/A,tt1462059,0,0
Manhattan Love Story,ABC,N/A,tt3514886,0,0
The Biggest Loser,Network 10,N/A,tt0818297,0,0
Scandal,ABC,N/A,tt1837576,0,0
America's Next Top Model,VH1,N/A,tt0363307,0,0
Blue Bloods,CBS,N/A,tt1595859,0,0
Law & Order: Special Victims Unit,NBC,N/A,tt0203259,0,0
Dominion,Syfy,N/A,tt3079768,0,0
From Dusk Till Dawn: The Series,El Rey Network,N/A,tt3337194,0,0
Bob's Burgers,FOX,N/A,tt1561755,0,0
Mulaney,FOX,N/A,tt2753110,0,0
CSI: Crime Scene Investigation,CBS,N/A,tt0247082,0,0
Gracepoint,FOX,N/A,tt3435532,0,0
Once Upon a Time,ABC,N/A,tt1843230,0,0
South Park,Comedy Central,N/A,tt0121955,0,0
King of the Hill,FOX,N/A,tt0118375,0,0
Star Wars: Rebels,Disney XD,DisneyNOW,tt2930604,0,0
Transparent,,Prime Video,tt3502262,0,0
2 Broke Girls,CBS,N/A,tt1845307,0,0
Selfie,ABC,N/A,tt3549044,0,0
The Affair,Showtime,N/A,tt2699110,0,0
Jane the Virgin,The CW,N/A,tt3566726,0,0
Marry Me,NBC,N/A,tt3460454,0,0
Two and a Half Men,CBS,N/A,tt0369179,0,0
About a Boy,NBC,N/A,tt2666270,0,0
The Millers,CBS,N/A,tt2737290,0,0
The McCarthys,CBS,N/A,tt3434378,0,0
Cristela,ABC,N/A,tt3729144,0,0
The Comeback,HBO,N/A,tt0434672,0,0
House of Lies,Showtime,N/A,tt1797404,0,0
Nurse Jackie,Showtime,N/A,tt1190689,0,0
Web Therapy,Showtime,N/A,tt1930123,0,0
Masters of Sex,Showtime,N/A,tt2137109,0,0
Ray Donovan,Showtime,N/A,tt2249007,0,0
Sanctuary,,Hulu,tt1302522,0,0
Beauty and the Beast,CBS,N/A,tt0092319,0,0
Twin Peaks,Showtime,N/A,tt0098936,0,0
Fringe,FOX,N/A,tt1119644,0,0
State of Affairs,NBC,N/A,tt3489236,0,0
Weeds,Showtime,N/A,tt0439100,0,0
Carnivàle,HBO,N/A,tt0319969,0,0
Human Target,ABC,N/A,tt0103447,0,0
Bionic Woman,NBC,N/A,tt0880557,0,0
How I Met Your Mother,CBS,N/A,tt0460649,0,0
Suits,Fuji TV,N/A,tt9496114,0,0
Parks and Recreation,NBC,N/A,tt1266020,0,0
Teen Wolf,MTV,N/A,tt1567432,0,0
The Legend of Korra,Nickelodeon,N/A,tt1695360,0,0
Firefly,FOX,N/A,tt0303461,0,0
Extant,CBS,N/A,tt3155320,0,0
Tyrant,FX,N/A,tt2568204,0,0
BoJack Horseman,,Netflix,tt3398228,0,0
Salem,WGN America,N/A,tt2963254,0,0
Star-Crossed,The CW,N/A,tt2657262,0,0
Crisis,NBC,N/A,tt2322158,0,0
Hello Ladies,HBO,N/A,tt2378794,0,0
Dads,ABC,N/A,tt0090414,0,0
Da Vinci's Demons,,Starz Play,tt2094262,0,0
The Fosters,ITV,N/A,tt0073993,0,0
Mistresses,BBC One,N/A,tt0969007,0,0
The Tomorrow People,ITV,N/A,tt0103568,0,0
Devious Maids,Lifetime,N/A,tt2226342,0,0
Almost Human,FOX,N/A,tt2654580,0,0
The Carrie Diaries,The CW,N/A,tt2056366,0,0
Stargate SG-1,Syfy,N/A,tt0118480,0,0
Graceland,USA Network,N/A,tt2393813,0,0
Stargate Atlantis,Syfy,N/A,tt0374455,0,0
Stargate Universe,Syfy,N/A,tt1286039,0,0
The Chair,,Netflix,tt11834150,0,0
Survivor's Remorse,STARZ,Starz Play,tt3231022,0,0
Doctor Who,BBC One,N/A,tt0056751,0,0
666 Park Avenue,ABC,N/A,tt2197797,0,0
Alcatraz,FOX,N/A,tt1728102,0,0
The Gates,ABC,N/A,tt1599357,0,0
American Dad!,TBS,N/A,tt0397306,0,0
Hostages,,Disney+ Hotstar,tt9094282,0,0
Being Human,BBC Three,N/A,tt1349938,0,0
Alphas,Syfy,N/A,tt1183865,0,0
Crossing Lines,TF1,N/A,tt2427220,0,0
Rectify,Sundance TV,N/A,tt2183404,0,0
Happyland,MTV,N/A,tt3168978,0,0
Twisted,,JioCinema,tt6971330,0,0
Ravenswood,FreeForm,N/A,tt2799012,0,0
The Crazy Ones,CBS,N/A,tt2710104,0,0
Mob City,TNT,N/A,tt2176609,0,0
Last Resort,ABC,N/A,tt2172103,0,0
The Neighbors,,Hulu,tt3432810,0,0
Vegas,CBS,N/A,tt2262383,0,0
The River,BBC One,N/A,tt0096691,0,0
The New Normal,NBC,N/A,tt2087571,0,0
GCB,ABC,N/A,tt1727387,0,0
Revolution,NBC,N/A,tt2070791,0,0
Dallas,CBS,N/A,tt0077000,0,0
Anger Management,FX,N/A,tt1986770,0,0
Cops,Paramount Network,N/A,tt0096563,0,0
Benched,USA Network,N/A,tt3342592,0,0
The Great Fire,ITV,N/A,tt3629782,0,0
Conan,TBS,N/A,tt1637574,0,0
Strange Empire,CBC,N/A,tt3920814,0,0
Town of the Living Dead,Syfy,N/A,tt4081326,0,0
Long Shadow,BBC Two,N/A,tt5969822,0,0
The Colbert Report,Comedy Central,N/A,tt0458254,0,0
Transporter: The Series,RTL,N/A,tt1885102,0,0
Kirby Buckets,Disney XD,DisneyNOW,tt3544772,0,0
Downton Abbey,ITV,N/A,tt1606375,0,0
Girl Meets World,Disney Channel,DisneyNOW,tt2543796,0,0
Hell's Kitchen,MTV3,N/A,tt3206462,0,0
World Series of Poker,ESPN2,N/A,tt2733512,0,0
Anthony Bourdain: Parts Unknown,CNN,N/A,tt2845786,0,0
