,mentions,score,streaming,network
Cunk on Britain,1,8,N/A,BBC Two
Baby,1,8,Netflix,
Mytho,1,8,N/A,ARTE
Only Murders in the Building,1,8,Hulu,
Neon,1,8,Netflix,
Dude,4,7,Prime Video,
Revenge,3,7,N/A,ABC
Skin,3,7,N/A,FOX
Fringe,2,7,N/A,FOX
Crash,2,7,N/A,STARZ
Silence,2,7,N/A,CTV
Chaotic,2,7,N/A,FOX
Midnight Mass,2,7,Netflix,
La Brea,2,7,N/A,NBC
Curb Your Enthusiasm,1,7,N/A,HBO
Younger,1,7,Paramount+,
After War Gundam X,1,7,N/A,TV Asahi
The Chopping Block,1,7,N/A,NBC
Doug,1,7,N/A,Nickelodeon
The Royal,1,7,N/A,ITV
Off Topic,1,7,Rooster Teeth,
Uncovered,1,7,YouTube,TVE
Icarus,1,7,Blackpills,
Robins,1,7,N/A,SVT1
Abby,1,7,N/A,UPN
Royal Family,1,7,N/A,MBC
Strangers,1,7,N/A,ITV
Derry Girls,1,7,N/A,Channel 4
The Lord of the Rings: The Rings of Power,1,7,Prime Video,
Giri/Haji,1,7,BBC iPlayer,
I Think You Should Leave with Tim Robinson,1,7,Netflix,
Burning,1,7,N/A,Dragon TV
True Story,1,7,Netflix,
Robin,1,7,N/A,SVT1
Keep Your Hands Off Eizouken!,1,7,N/A,MBS
FIFA Uncovered,1,7,Netflix,
Move,12,6,Netflix,
Eyes,2,6,N/A,ABC
The Spa,2,6,N/A,Sky Witness
Tonight,2,6,N/A,ITV
Twins,2,6,N/A,The WB
Condor,2,6,Pickbox NOW,
Pandemic,2,6,N/A,Hallmark Channel
The Good Lord Bird,2,6,N/A,Showtime
Little Demon,2,6,N/A,FXX
Star Trek: Prodigy,2,6,Paramount+,
Thea,2,6,N/A,ABC
Fear the Walking Dead,1,6,AMC+,
Undercover,1,6,N/A,jTBC
Colony,1,6,N/A,USA Network
Blown Away,1,6,Netflix,
Panic,1,6,Prime Video,
The Wilds,1,6,Prime Video,
Player,1,6,N/A,OCN
The Other Two,1,6,HBO Max,
Translation,1,6,Prime Video,
Blue,3,5,Hulu,
Godless,3,5,Netflix,
Villains,3,5,N/A,ITV
Dope,3,5,Netflix,
Dopesick,3,5,Hulu,
Switch,2,5,N/A,ITV2
The Price is Right,2,5,N/A,CBS
Guilt,2,5,BBC iPlayer,
Parents,2,5,N/A,Sky Showcase
The West,2,5,N/A,PBS
Villainous,2,5,Cartoon Network Everything,
Gangs of London,2,5,Now,
Stupid,2,5,N/A,BBC One
Switched,2,5,Netflix,
Ancient Apocalypse,2,5,Netflix,
The Price,2,5,N/A,Channel 4
Random,2,5,YouTube,
Let the Right One In,2,5,Showtime on Demand,Showtime
Glee,1,5,N/A,FOX
Z Nation,1,5,N/A,Syfy
Scandal,1,5,N/A,ABC
Smash,1,5,N/A,NBC
Buffy the Vampire Slayer,1,5,N/A,UPN
Terra Nova,1,5,N/A,RTP1
The Unit,1,5,N/A,KBS2
Stranded,1,5,N/A,Syfy
Stranger Things,1,5,Netflix,
NOVA,1,5,N/A,PBS
Jesse,1,5,N/A,NBC
Full English,1,5,N/A,Channel 4
The Silence,1,5,N/A,BBC One
Chewing Gum,1,5,N/A,E4
Insecure,1,5,N/A,HBO
Coach,1,5,N/A,ABC
Cuts,1,5,N/A,UPN
Spirited,1,5,Binge,
Torn,1,5,N/A,ITV
All of Us,1,5,N/A,The CW
Clique,1,5,BBC Three,
Peacemaker,1,5,HBO Max,
Clue,1,5,N/A,Discovery Family
Ghostwriter,1,5,Apple TV+,
GLOW,1,5,Netflix,
The Orville,1,5,Hulu,
United States,1,5,N/A,NBC
Sara,1,5,N/A,RTP2
The Disappearance,1,5,N/A,CTV
The Umbrella Academy,1,5,Netflix,
Lawless,1,5,N/A,FOX
Return,1,5,N/A,SBS
One Way Out,1,5,N/A,Discovery Channel
The 2000s,1,5,N/A,CNN
Black Summer,1,5,Netflix,
Pachinko,1,5,Apple TV+,
Selling Sunset,1,5,Netflix,
Primal,1,5,N/A,Adult Swim
Disappearance,1,5,N/A,DMC
The Movies,1,5,N/A,CNN
Inventing Anna,1,5,Netflix,
Love Is Blind,1,5,Netflix,
All of Us Are Dead,1,5,Netflix,
Drone,1,5,YouTube,
Hacks,1,5,HBO Max,
The Rehearsal,1,5,N/A,HBO
Kleo,1,5,Netflix,
Extraordinary Attorney Woo,1,5,N/A,ENA
The Answers,1,5,N/A,FX
Our Universe,1,5,Netflix,
The Game,2,4,Paramount+,
The Expanse,2,4,Prime Video,
Cracked,2,4,N/A,CBC
Eden,2,4,N/A,USA Network
Bluey,2,4,N/A,Seven Network
Welcome,2,4,N/A,KBS2
The Hospital,2,4,Prime Video,
True Blood,1,4,N/A,HBO
Silicon Valley,1,4,N/A,HBO
Shameless,1,4,N/A,Channel 4
Doctor Who,1,4,N/A,BBC One
The Universe,1,4,N/A,H2
Life on Mars,1,4,N/A,OCN
Bosch,1,4,Prime Video,
Back to You,1,4,N/A,FOX
Wings,1,4,N/A,BBC One
One of Us,1,4,N/A,BBC One
Martin,1,4,N/A,FOX
Incorporated,1,4,N/A,Syfy
Bust,1,4,N/A,ITV
Airport,1,4,N/A,BBC One
Mars,1,4,N/A,GTV
Tin Star,1,4,Sky Go,
MARS,1,4,N/A,National Geographic Channel
Place to Place,1,4,N/A,TBS
Damned,1,4,N/A,Channel 4
Bucket,1,4,N/A,BBC Four
Slow Start,1,4,N/A,Tokyo MX
Sando,1,4,N/A,ABC
I'm Fine,1,4,Dekkoo,
Doom Patrol,1,4,N/A,Cartoon Network
Locke & Key,1,4,Netflix,
Ghosts,1,4,N/A,CBS
The Big Lez Show,1,4,YouTube,
Priest,1,4,N/A,OCN
Buck,1,4,N/A,Ketnet
Inside Man,1,4,N/A,Zhejiang TV
Dr. Death,1,4,Peacock,
One of Us Is Lying,1,4,Peacock,
Call Me Kat,1,4,N/A,FOX
Grace,1,4,N/A,HBO Asia
Life After,1,4,Prime Video,
The Platform,1,4,Netflix,
Amore,1,4,YouTube,
Home Economics,1,4,N/A,ABC
Sasquatch,1,4,Hulu,
WeCrashed,1,4,Apple TV+,
Mammals,1,4,Prime Video,
The Calling,1,4,Peacock,
Blockbuster,1,4,Netflix,
Christian,1,4,Now,Sky Atlantic
Chainsaw Man,1,4,N/A,TV Tokyo
Walt Disney,5,3,N/A,BBC Two
Slow Horses,3,3,Apple TV+,
Dirt,2,3,Brat,
Drive,2,3,N/A,FOX
Shetland,2,3,N/A,BBC One
Hunter,2,3,N/A,CBS
Impossible,2,3,N/A,BBC One
Dirty Money,2,3,Netflix,
Limit,2,3,N/A,TV Tokyo
Gran,2,3,N/A,BBC One
The Tourist,2,3,BBC iPlayer,
The 100,1,3,N/A,The CW
The Voice,1,3,N/A,Seven Network
Married,1,3,N/A,FX
Persons Unknown,1,3,N/A,NBC
Ancient Aliens,1,3,N/A,History
John Adams,1,3,N/A,HBO
Restless,1,3,N/A,BBC One
My Hero,1,3,N/A,NBC
Proof,1,3,N/A,RTÉ ONE
