name,streaming,network,mentions,score,week added,largest week,largest week amt
New Blood,N/A,BBC One,67,350,1,3,18
Corporate,N/A,Comedy Central,67,346,1,28,5
Dangerous,MX Player,,67,272,1,7,10
The Head,HBO Max,,67,248,1,49,8
Please Like Me,N/A,ABC TV Plus,67,245,1,12,7
Babylon,N/A,Tokyo MX,67,239,3,41,6
Access,N/A,C8,67,197,1,6,4
Sherlock,N/A,BBC One,67,143,1,9,4
Extraordinary,Disney+,,66,594,2,27,6
Vigil,N/A,BBC One,66,423,1,3,7
Bizarre,N/A,CTV,66,406,2,29,8
Flesh,Eros Now,,66,369,1,8,5
The Queen,N/A,Channel 4,66,343,1,43,5
Sally,N/A,SVT1,66,303,1,21,6
Animal Kingdom,N/A,ITV1,66,299,2,32,5
Counterpart,N/A,STARZ,66,297,1,18,5
Candy,Voot,,66,291,1,17,9
The Critic,N/A,FOX,66,283,2,19,6
The Loop,N/A,FOX,66,258,1,17,5
Obi-Wan Kenobi,Disney+,,65,682,18,19,13
Bigger,BET+,,65,375,2,28,4
Powers,Playstation,,65,328,3,21,5
Dirt,Brat,,65,326,1,13,5
Arrow,N/A,The CW,65,316,1,35,6
The Missing,N/A,Discovery Channel,65,284,1,11,8
Preach,N/A,Lifetime,65,234,1,5,8
Blown Away,Netflix,,64,569,1,35,5
Express,Lionsgate+,,64,444,1,5,4
Holding,ITVX,,64,396,1,18,4
The Four,N/A,Hunan TV,64,392,3,9,4
Coast,N/A,BBC Two,64,370,1,46,6
30 Rock,N/A,NBC,64,319,1,7,8
Rectify,N/A,Sundance TV,64,317,3,25,4
Mary,N/A,CBS,64,311,1,3,7
Sex Education,Netflix,,64,298,1,30,6
Target,N/A,BBC One,63,285,1,16,4
The Knick,N/A,Cinemax,63,272,1,31,6
Modern Family,N/A,ABC,63,246,1,10,7
E Street,N/A,Network 10,62,499,2,5,14
Years and Years,N/A,BBC One,62,366,2,36,10
Silicon Valley,N/A,HBO,62,356,1,30,4
Heels,N/A,STARZ,62,302,1,16,7
Cops,N/A,Paramount Network,62,283,1,6,6
Batman,N/A,ABC,62,249,1,10,6
Travelers,Netflix,,62,240,4,18,5
Outlander,N/A,STARZ,62,206,6,10,13
The Book of Boba Fett,Disney+,,61,553,1,1,8
Alice in Borderland,Netflix,,61,474,2,49,18
Impossible,N/A,BBC One,61,469,2,25,4
American Vandal,Netflix,,61,462,3,25,10
